Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Condition,Wave,Trial,TargetName,Outcome,ReactionTime_ms,RT_s, Gaze_Precision, Locked_On_Target_Status, Gaze_Hit_Location_x, Gaze_Hit_Location_y,Gaze_Hit_Location_z, Reticle_Aim_Direction_x,Reticle_Aim_Direction_y, Reticle_Aim_Direction_z, Target_Distance_From_Camera
757.313,2025-10-08T00:17:01.7704340Z,638954794217704420,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,17,Target_Left,Hit,603,0.60,0.998,True,-4.014,1.296,9.500,-1.220,1.122,2.794,10.726
758.507,2025-10-08T00:17:02.9642670Z,638954794229642740,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,18,Target_Center,Hit,673,0.67,0.098,True,0.349,4.048,9.500,0.107,1.953,2.902,9.966
759.575,2025-10-08T00:17:04.0326120Z,638954794240326200,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,19,Target_Up,Hit,547,0.55,0.938,True,0.062,5.782,9.500,0.018,2.414,2.713,10.853
760.664,2025-10-08T00:17:05.1213160Z,638954794251213250,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,20,Target_Left,Hit,558,0.56,0.968,True,-4.218,1.166,9.500,-1.259,1.083,2.777,10.725
761.868,2025-10-08T00:17:06.3254630Z,638954794263254720,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,21,Target_Down,Hit,679,0.68,0.830,True,-0.011,-1.860,9.500,-0.004,0.161,2.927,10.600
772.002,2025-10-08T00:17:16.4593090Z,638954794364593180,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,22,Target_Up,Hit,546,0.55,0.995,True,-0.090,5.296,9.500,-0.025,2.322,2.759,10.852
772.895,2025-10-08T00:17:17.3520700Z,638954794373520770,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,22,Target_Center,Incorrect,365,0.37,0.982,True,-0.001,1.581,9.500,0.000,1.206,3.044,9.957
774.028,2025-10-08T00:17:18.4856590Z,638954794384856660,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,23,Target_Right,Hit,612,0.61,0.690,True,2.826,1.387,9.500,0.908,1.140,2.909,10.726
775.186,2025-10-08T00:17:19.6435400Z,638954794396435470,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,24,Target_Up,Hit,630,0.63,0.751,True,-0.170,4.371,9.500,-0.048,2.108,2.849,10.849
776.327,2025-10-08T00:17:20.7844640Z,638954794407844710,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,24,Target_Down,Incorrect,615,0.62,0.000,False,-0.011,-1.860,9.500,-0.018,0.818,3.043,10.600
777.627,2025-10-08T00:17:22.0843270Z,638954794420843350,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,24,Target_Up,Incorrect,776,0.78,0.000,False,-0.170,4.371,9.500,-0.115,1.495,3.011,10.849
778.969,2025-10-08T00:17:23.4259960Z,638954794434260030,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,25,Target_Right,Hit,829,0.83,0.446,True,2.209,1.673,9.500,0.719,1.249,2.955,10.727
780.411,2025-10-08T00:17:24.8682890Z,638954794448683090,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,26,Target_Up,Hit,930,0.93,0.972,True,0.227,5.509,9.500,0.081,2.392,2.723,10.852
782.126,2025-10-08T00:17:26.5829660Z,638954794465829770,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,27,Target_Up,Hit,1191,1.19,0.910,True,0.096,5.879,9.500,0.028,2.480,2.678,10.853
783.852,2025-10-08T00:17:28.3092740Z,638954794483092860,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,28,Target_Up,Hit,1211,1.21,0.943,True,0.039,4.959,9.500,0.013,2.256,2.789,10.851
785.314,2025-10-08T00:17:29.7715550Z,638954794497715640,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,29,Target_Center,Hit,948,0.95,0.297,True,0.061,-0.839,9.500,0.019,0.451,2.996,9.950
787.041,2025-10-08T00:17:31.4979780Z,638954794514979840,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,30,Target_Down,Hit,1205,1.21,0.702,True,-0.227,-3.755,9.500,-0.066,-0.338,2.730,10.595
788.178,2025-10-08T00:17:32.6352240Z,638954794526352320,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,30,Target_Left,Incorrect,614,0.61,0.000,False,-4.218,1.166,9.500,0.057,1.294,3.037,10.725
